"education","south","female","workexp","unionmember","wages","age","ethnicity","occupation","sector","married"
16,1,0,16,0,13.4499998092651,38,"Other","Professional","Other",0
16,0,1,7,0,6.25,29,"White","Professional","Other",1
12,0,1,11,0,6.5,29,"White","Professional","Other",0
12,0,1,11,0,12,29,"White","Professional","Other",1
12,0,1,16,0,8.5,34,"White","Professional","Other",0
18,0,0,33,1,8,57,"White","Professional","Other",0
12,1,1,21,0,5.75,39,"White","Professional","Other",1
16,0,0,4,0,15.7299995422363,26,"White","Professional","Manufacturing",1
15,0,0,13,0,9.85999965667725,34,"White","Professional","Other",1
18,0,0,14,1,13.5100002288818,38,"White","Professional","Other",1
16,0,1,10,0,5.40000009536743,32,"White","Professional","Other",1
18,1,0,14,0,6.25,38,"White","Professional","Other",1
16,1,0,29,0,5.5,51,"White","Professional","Other",1
12,0,0,4,0,5,22,"Hispanic","Professional","Other",0
18,0,0,27,0,6.25,51,"Other","Professional","Other",1
12,0,0,3,0,5.75,21,"White","Professional","Other",1
16,1,0,14,1,20.5,36,"White","Professional","Other",1
14,0,0,0,0,5,20,"White","Professional","Construction",1
18,0,0,33,0,7,57,"White","Professional","Other",1
16,1,0,38,0,18,60,"White","Professional","Other",1
18,0,1,18,1,12,42,"White","Professional","Other",1
17,0,0,3,0,20.3999996185303,26,"White","Professional","Manufacturing",0
18,0,1,40,0,22.2000007629395,64,"White","Professional","Other",0
14,0,0,19,0,16.4200000762939,39,"White","Professional","Manufacturing",0
14,0,1,4,0,8.63000011444092,24,"White","Professional","Other",0
16,0,1,11,0,19.3799991607666,33,"White","Professional","Other",1
16,0,1,16,0,14,38,"White","Professional","Other",1
14,0,0,22,0,10,42,"White","Professional","Other",1
17,0,1,13,1,15.9499998092651,36,"White","Professional","Other",0
16,1,1,28,1,20,50,"White","Professional","Other",1
16,0,1,10,0,10,32,"White","Professional","Other",1
16,1,1,5,0,24.9799995422363,27,"White","Professional","Other",0
15,0,0,5,0,11.25,26,"White","Professional","Other",0
18,0,1,37,0,22.8299999237061,61,"White","Professional","Manufacturing",0
17,0,1,26,1,10.1999998092651,49,"White","Professional","Other",1
16,1,1,4,0,10,26,"White","Professional","Other",1
18,0,1,31,1,14,55,"White","Professional","Other",0
17,0,1,13,1,12.5,36,"White","Professional","Other",1
12,0,1,42,0,5.78999996185303,60,"White","Professional","Other",1
17,0,0,18,0,24.9799995422363,41,"Hispanic","Professional","Other",1
12,0,1,3,0,4.34999990463257,21,"White","Professional","Other",1
17,0,1,10,0,11.25,33,"White","Professional","Other",0
16,0,1,10,1,6.67000007629395,32,"White","Professional","Other",0
16,0,1,17,0,8,39,"Hispanic","Professional","Other",1
18,0,0,7,0,18.1599998474121,31,"White","Professional","Other",1
16,0,1,14,0,12,36,"White","Professional","Other",1
16,0,1,22,1,8.89000034332275,44,"White","Professional","Other",1
17,0,1,14,0,9.5,37,"White","Professional","Other",1
16,0,0,11,0,13.6499996185303,33,"White","Professional","Other",1
18,0,0,23,1,12,47,"White","Professional","Other",1
12,0,0,39,1,15,57,"White","Professional","Other",1
16,0,0,15,0,12.6700000762939,37,"White","Professional","Other",1
14,0,1,15,0,7.38000011444092,35,"Hispanic","Professional","Other",0
16,0,0,10,0,15.5600004196167,32,"White","Professional","Other",0
12,1,1,25,0,7.44999980926514,43,"White","Professional","Other",0
14,0,1,12,0,6.25,32,"White","Professional","Other",1
16,1,1,7,0,6.25,29,"Hispanic","Professional","Other",1
17,0,0,7,1,9.36999988555908,30,"White","Professional","Other",1
16,0,0,17,0,22.5,39,"White","Professional","Manufacturing",1
16,0,0,10,1,7.5,32,"White","Professional","Other",1
17,1,0,2,0,7,25,"White","Professional","Other",1
9,1,1,34,1,5.75,49,"Other","Professional","Other",1
15,0,1,11,0,7.67000007629395,32,"White","Professional","Other",1
15,0,0,10,0,12.5,31,"White","Professional","Other",0
12,1,0,12,0,16,30,"White","Professional","Other",1
16,0,1,6,1,11.789999961853,28,"White","Professional","Other",0
18,0,0,5,0,11.3599996566772,29,"White","Professional","Other",0
12,0,1,33,0,6.09999990463257,51,"Other","Professional","Other",1
17,0,1,25,1,23.25,48,"Other","Professional","Other",1
12,1,0,13,1,19.8799991607666,31,"White","Professional","Other",1
16,0,0,33,0,15.3800001144409,55,"White","Professional","Manufacturing",1
